date,count1,count2,month,dom,dow,doy,total,regular,overage1,overage2
2016-07-13,7767,3883,7,13,3,195,42850.63,42561.6,289.03,289.03
2016-07-14,7544,3749,7,14,4,196,41919.6,40226.34,1693.26,1693.26
2016-07-15,7869,3884,7,15,5,197,43317.36,38621.74,4695.62,4695.62
2016-07-16,7254,3836,7,16,6,198,39412.91,31297.21,8115.7,8115.7
2016-07-17,6462,3707,7,17,0,199,34026.69,33949.15,77.54,77.54
2016-07-18,7747,3904,7,18,1,200,41916.03,41844.69,71.34,71.34
2016-07-19,7259,3697,7,19,2,201,40459.94,40348,111.94,111.94
2016-07-20,7829,3896,7,20,3,202,43143.13,42821.17,321.96,321.96
2016-07-21,7564,3767,7,21,4,203,41791.94,40315.67,1476.27,1476.27
2016-07-22,7866,3893,7,22,5,204,43369.82,39101.01,4268.81,4268.81
2016-07-23,7271,3850,7,23,6,205,39654.83,31629.18,8025.65,8025.65
2016-07-24,6534,3712,7,24,0,206,34423.18,34326.5,96.68,96.68
2016-07-25,7792,3921,7,25,1,207,42597.42,42439.9,157.52,157.52
2016-07-26,7280,3718,7,26,2,208,40469.98,40363.04,106.94,106.94
2016-07-27,7799,3893,7,27,3,209,42934.33,42638.88,295.45,295.45
2016-07-28,7563,3746,7,28,4,210,41702.7,40273.08,1429.62,1429.62
2016-07-29,7862,3893,7,29,5,211,43336.66,39304.11,4032.55,4032.55
2016-07-30,7243,3852,7,30,6,212,39442.85,31661.42,7781.43,7781.43
2016-07-31,6470,3708,7,31,0,213,34295.05,34191.47,103.58,103.58
2016-08-01,7712,3897,8,1,1,214,41886.3,41776.79,109.51,109.51
2016-08-02,7218,3714,8,2,2,215,40080.83,39946.48,134.35,134.35
2016-08-03,7685,3876,8,3,3,216,42302.58,42033.5,269.08,269.08
2016-08-04,7487,3735,8,4,4,217,41292.64,40089.07,1203.57,1203.57
2016-08-05,7871,3882,8,5,5,218,43854.95,39957.78,3897.17,3897.17
2016-08-06,7232,3817,8,6,6,219,39959.96,32210.82,7749.14,7749.14
2016-08-07,6462,3685,8,7,0,220,34569.14,34477.4,91.74,91.74
2016-08-08,7654,3871,8,8,1,221,41819.54,41727.13,92.41,92.41
2016-08-09,7169,3677,8,9,2,222,39927.72,39820.25,107.47,107.47
2016-08-10,7646,3827,8,10,3,223,42223.89,41984.5,239.39,239.39
2016-08-11,7394,3688,8,11,4,224,40930.48,39780.95,1149.53,1149.53
2016-08-12,7802,3846,8,12,5,225,43289.94,39419.69,3870.25,3870.25
2016-08-13,7155,3785,8,13,6,226,39264.5,31714.66,7549.84,7549.84
2016-08-14,6409,3650,8,14,0,227,33828.7,33733.88,94.82,94.82
2016-08-15,7612,3843,8,15,1,228,41250.75,41174.03,76.72,76.72
2016-08-16,7067,3644,8,16,2,229,39383.29,39302.4,80.89,80.89
2016-08-17,7590,3808,8,17,3,230,41749.8,41475.01,274.79,274.79
2016-08-18,7387,3678,8,18,4,231,40712.86,39690.02,1022.84,1022.84
2016-08-19,7715,3826,8,19,5,232,42673.93,39199.08,3474.85,3474.85
2016-08-20,7195,3779,8,20,6,233,39240.05,32152.25,7087.8,7087.8
2016-08-21,6372,3617,8,21,0,234,33708.06,33590.22,117.84,117.84
2016-08-22,7588,3839,8,22,1,235,40955.24,40881.25,73.99,73.99
2016-08-23,7179,3654,8,23,2,236,39695.36,39559.06,136.3,136.3
2016-08-24,7640,3817,8,24,3,237,41898.53,41661.39,237.14,237.14
2016-08-25,7435,3679,8,25,4,238,40891.94,39886.72,1005.22,1005.22
2016-08-26,7778,3833,8,26,5,239,42614.8,39038.55,3576.25,3576.25
2016-08-27,7157,3768,8,27,6,240,40282.27,33025.94,7256.33,7256.33
2016-08-28,6391,3631,8,28,0,241,33689.02,33616.7,72.32,72.32
2016-08-29,7579,3832,8,29,1,242,40988.84,40893.28,95.56,95.56
2016-08-30,7180,3653,8,30,2,243,39700.02,39606.33,93.69,93.69
2016-08-31,7600,3803,8,31,3,244,41744.07,41568.41,175.66,175.66
2016-09-01,7343,3657,9,1,4,245,40111.01,39228.93,882.08,882.08
2016-09-02,7668,3780,9,2,5,246,41872.47,38660.1,3212.37,3212.37
2016-09-03,7140,3741,9,3,6,247,38630.2,31689.77,6940.43,6940.43
2016-09-04,6350,3601,9,4,0,248,33542.73,33479.19,63.54,63.54
2016-09-05,7353,3748,9,5,1,249,40410.12,39651.19,758.93,60.98
2016-09-06,7010,3620,9,6,2,250,38396.46,38338.56,57.9,57.9
2016-09-07,7593,3784,9,7,3,251,41199.17,41075.48,123.69,123.69
2016-09-08,7408,3649,9,8,4,252,40483.07,39878.62,604.45,602.45
2016-09-09,7738,3802,9,9,5,253,42302.88,39428.57,2874.31,2874.31
2016-09-10,7160,3728,9,10,6,254,38888.37,32408.15,6480.22,6480.22
2016-09-11,6403,3594,9,11,0,255,33716.72,33645.83,70.89,70.89
2016-09-12,7561,3789,9,12,1,256,40871.76,40813.94,57.82,57.82
2016-09-13,7144,3620,9,13,2,257,39645.31,39572.24,73.07,73.07
2016-09-14,7654,3794,9,14,3,258,41969.35,41843.7,125.65,125.65
2016-09-15,7411,3649,9,15,4,259,40650.97,39664.72,986.25,986.25
2016-09-16,7781,3854,9,16,5,260,42834.15,39464.63,3369.52,3369.52
2016-09-17,7188,3794,9,17,6,261,38479.4,31952.89,6526.51,6526.51
2016-09-18,6453,3655,9,18,0,262,33853.33,33786.94,66.39,66.39
2016-09-19,7693,3868,9,19,1,263,41457.65,41398.76,58.89,58.89
2016-09-20,7247,3673,9,20,2,264,39992.32,39932.43,59.89,59.89
2016-09-21,7728,3834,9,21,3,265,42128.66,41964.88,163.78,163.78
2016-09-22,7486,3698,9,22,4,266,40632.35,39790.47,841.88,841.88
2016-09-23,7759,3841,9,23,5,267,42131.81,39108.87,3022.94,3022.94
2016-09-24,7169,3783,9,24,6,268,38586.23,32203.22,6383.01,6383.01
2016-09-25,6417,3645,9,25,0,269,33724.96,33657.4,67.56,67.56
2016-09-26,7667,3867,9,26,1,270,41441.18,41398.21,42.97,42.97
2016-09-27,7212,3688,9,27,2,271,39757.46,39673.01,84.45,84.45
2016-09-28,7729,3835,9,28,3,272,42232.12,42021.79,210.33,210.33
2016-09-29,7506,3699,9,29,4,273,41147.08,40096.89,1050.19,1050.19
2016-09-30,7831,3855,9,30,5,274,42768.66,39493.52,3275.14,3275.14
2016-10-01,7193,3784,10,1,6,275,38516.99,32036.47,6480.52,6480.52
2016-10-02,6385,3645,10,2,0,276,33466.71,33367.62,99.09,99.09
2016-10-03,7698,3852,10,3,1,277,41485.05,41422.67,62.38,62.38
2016-10-04,7217,3694,10,4,2,278,39516.53,39410.77,105.76,105.76
2016-10-05,7682,3850,10,5,3,279,43398.27,43198.69,199.58,199.58
2016-10-06,7224,3665,10,6,4,280,39464.79,38580.96,883.83,883.83
2016-10-07,7659,3798,10,7,5,281,41651.26,38611.13,3040.13,3040.13
2016-10-08,7206,3791,10,8,6,282,38998.41,32793.42,6204.99,6204.99
2016-10-09,6421,3666,10,9,0,283,35111.97,35013.6,98.37,90.12
2016-10-10,7706,3871,10,10,1,284,42131.09,41862.22,268.87,73.12
2016-10-11,7229,3695,10,11,2,285,40076.27,39930.78,145.49,145.49
2016-10-12,7711,3863,10,12,3,286,42297.29,42097.02,200.27,200.27
2016-10-13,7512,3732,10,13,4,287,41108.59,40072.69,1035.9,1035.9
2016-10-14,7870,3870,10,14,5,288,44934.61,41127.04,3807.57,3807.57
2016-10-15,7251,3819,10,15,6,289,39294.08,32453.56,6840.52,6840.52
2016-10-16,6442,3698,10,16,0,290,34150.3,34047.83,102.47,102.47
2016-10-17,7733,3888,10,17,1,291,41859.14,41786.17,72.97,72.97
2016-10-18,7264,3712,10,18,2,292,40248.89,40134.26,114.63,114.63
2016-10-19,7759,3888,10,19,3,293,42676.38,42422.43,253.95,253.95
2016-10-20,7553,3750,10,20,4,294,41514.76,40190.67,1324.09,1324.09
2016-10-21,7891,3881,10,21,5,295,43415.84,39544.87,3870.97,3870.97
2016-10-22,7312,3819,10,22,6,296,39808.28,32864.15,6944.13,6944.13
2016-10-23,6458,3664,10,23,0,297,34154.73,34050.35,104.38,104.38
2016-10-24,7752,3862,10,24,1,298,42002.1,41929.79,72.31,72.31
2016-10-25,7282,3674,10,25,2,299,40364.8,40260.13,104.67,104.67
2016-10-26,7764,3859,10,26,3,300,42643.44,42421.98,221.46,221.46
2016-10-27,7523,3716,10,27,4,301,41187.13,39982.18,1204.95,1204.95
2016-10-28,7835,3863,10,28,5,302,43150.38,39338.94,3811.44,3811.44
2016-10-29,7295,3786,10,29,6,303,39736.51,32291.79,7444.72,7444.72
2016-10-30,6468,3636,10,30,0,304,34349.9,34235.99,113.91,113.91
2016-10-31,7680,3853,10,31,1,305,41757.6,41651.6,106,106
2016-11-01,7165,3667,11,1,2,306,39503.83,39396.23,107.6,107.6
2016-11-02,7719,3841,11,2,3,307,42211.81,41915.29,296.52,296.52
2016-11-03,7487,3692,11,3,4,308,40993.15,39986.13,1007.02,1007.02
